"ELM"	"GOTerm"
"DOC_GSK3_Axin_1"	"GO:0008013"
"DOC_GSK3_Axin_1"	"GO:0030877"
"DOC_GSK3_Axin_1"	"GO:0060823"
"DOC_GSK3_Axin_1"	"GO:0005829"
"DOC_GSK3_Axin_1"	"GO:0001701"
"DOC_GSK3_Axin_1"	"GO:0005886"
"DOC_GSK3_Axin_1"	"GO:2000060"
"DOC_GSK3_Axin_1"	"GO:0032947"
"DOC_GSK3_Axin_1"	"GO:0019901"
"DOC_GSK3_Axin_1"	"GO:0060828"
"DOC_GSK3_Axin_1"	"GO:0035412"
"DOC_GSK3_Axin_1"	"GO:0004871"
"DOC_GSK3_Axin_1"	"GO:0090244"
"DOC_MAPK_DCC_7"	"GO:0008283"
"DOC_MAPK_DCC_7"	"GO:0005829"
"DOC_MAPK_DCC_7"	"GO:0035556"
"DOC_MAPK_DCC_7"	"GO:0000165"
"DOC_MAPK_DCC_7"	"GO:0005634"
"DOC_MAPK_DCC_7"	"GO:0006468"
"DOC_MAPK_DCC_7"	"GO:0005515"
"DOC_MAPK_DCC_7"	"GO:0019901"
"DOC_MAPK_DCC_7"	"GO:0004674"
"DOC_MAPK_DCC_7"	"GO:0006355"
"DOC_MAPK_DCC_7"	"GO:0005667"
"DOC_MAPK_FxFP_2"	"GO:0005829"
"DOC_MAPK_FxFP_2"	"GO:0000165"
"DOC_MAPK_FxFP_2"	"GO:0051019"
"DOC_MAPK_FxFP_2"	"GO:0048273"
"DOC_MAPK_FxFP_2"	"GO:0005634"
"DOC_MAPK_FxFP_2"	"GO:0007243"
"DOC_MAPK_GRA24_9"	"GO:0005737"
"DOC_MAPK_GRA24_9"	"GO:0005829"
"DOC_MAPK_GRA24_9"	"GO:0006955"
"DOC_MAPK_GRA24_9"	"GO:0035556"
"DOC_MAPK_GRA24_9"	"GO:0005634"
"DOC_MAPK_GRA24_9"	"GO:0006468"
"DOC_MAPK_GRA24_9"	"GO:0005515"
"DOC_MAPK_GRA24_9"	"GO:0043234"
"DOC_MAPK_GRA24_9"	"GO:0019901"
"DOC_MAPK_GRA24_9"	"GO:0006355"
"DOC_MAPK_HePTP_8"	"GO:0008283"
"DOC_MAPK_HePTP_8"	"GO:0005829"
"DOC_MAPK_HePTP_8"	"GO:0035556"
"DOC_MAPK_HePTP_8"	"GO:0000165"
"DOC_MAPK_HePTP_8"	"GO:0016020"
"DOC_MAPK_HePTP_8"	"GO:0005634"
"DOC_MAPK_HePTP_8"	"GO:0035335"
"DOC_MAPK_HePTP_8"	"GO:0006468"
"DOC_MAPK_HePTP_8"	"GO:0005515"
"DOC_MAPK_HePTP_8"	"GO:0016485"
"DOC_MAPK_HePTP_8"	"GO:0004674"
"DOC_MAPK_HePTP_8"	"GO:0006355"
"DOC_MAPK_JIP1_4"	"GO:0007257"
"DOC_MAPK_JIP1_4"	"GO:0006915"
"DOC_MAPK_JIP1_4"	"GO:0030424"
"DOC_MAPK_JIP1_4"	"GO:0007010"
"DOC_MAPK_JIP1_4"	"GO:0005829"
"DOC_MAPK_JIP1_4"	"GO:0008286"
"DOC_MAPK_JIP1_4"	"GO:0035556"
"DOC_MAPK_JIP1_4"	"GO:0007254"
"DOC_MAPK_JIP1_4"	"GO:0004706"
"DOC_MAPK_JIP1_4"	"GO:0016301"
"DOC_MAPK_JIP1_4"	"GO:0005078"
"DOC_MAPK_JIP1_4"	"GO:0031435"
"DOC_MAPK_JIP1_4"	"GO:0007399"
